from,to,dist
Cuenca,Illes Balears,441.44759278781316
Cuenca,Jaén,242.60125948268737
Cuenca,La Rioja,269.77112357765213
Cuenca,León,415.25775422928916
Cuenca,Lleida,348.1428735823681
Cuenca,Lugo,555.9501660214576
Cuenca,Madrid,142.19839832331527
Cuenca,Melilla,519.9707612992313
Cuenca,Murcia,229.86776720832341
Cuenca,Málaga,408.94517318562123
Cuenca,Navarra,310.1138473996149
Cuenca,Ourense,527.4590828965373
Cuenca,Palencia,327.9736001154983
Cuenca,Pontevedra,596.6875680553642
Cuenca,Salamanca,330.76469663051796
Cuenca,Segovia,207.73634717407907
Cuenca,Sevilla,414.2247461271895
Cuenca,Soria,195.00347545547393
Cuenca,Tarragona,302.6645866979338
Cuenca,Teruel,143.11664475527547
Cuenca,Toledo,173.52416042488835
Cuenca,Valencia/València,160.87439875793535
Cuenca,Valladolid,290.38468528571923
Cuenca,Vizcaya,374.278004271469
Cuenca,Zamora,365.2113987999465
Cuenca,Zaragoza,197.69520042405136
Cuenca,Álava,317.2781028774194
Cuenca,Ávila,246.35568169540358
Cáceres,A Coruña,417.0063359048735
Cáceres,Albacete,374.575782254295
Cáceres,Alicante/Alacant,507.71914501973936
Cáceres,Almería,437.2907370323717
Cáceres,Asturias,392.2792129163078
Cáceres,Badajoz,128.42810118191295
Cáceres,Barcelona,714.0781874112563
Cáceres,Burgos,340.4687520622803
Cáceres,Cantabria,422.02013915797977
Cáceres,Castellón/Castelló,502.46999548359366
Cáceres,Ceuta,443.75040869493006
Cáceres,Ciudad Real,223.8039053439162
Cáceres,Cuenca,330.16701314652033
Cáceres,Cáceres,0.0
Cáceres,Cádiz,361.27729499297027
Cáceres,Córdoba,244.12048509279148
Cáceres,Girona,785.9469657784415
Cáceres,Granada,375.5689031929181
Cáceres,Guadalajara,307.0217348393059
Cáceres,Guipúzcoa,492.1519888591409
Cáceres,Huelva,252.46277625223885
Cáceres,Huesca,570.6642360320928
Cáceres,Illes Balears,771.2395835467089
Cáceres,Jaén,307.0470134124713
Cáceres,La Rioja,403.3645775110216
Cáceres,León,301.1709790029076
Cáceres,Lleida,639.6874328652494
Cáceres,Lugo,375.63842481823514
Cáceres,Madrid,218.4452411503547
Cáceres,Melilla,576.0793817745393
Cáceres,Murcia,460.62576417935975
Cáceres,Málaga,360.98892009463395
Cáceres,Navarra,483.8247872263271
Cáceres,Ourense,300.05658754329664
Cáceres,Palencia,304.85609015917873
Cáceres,Pontevedra,350.99697273453967
Cáceres,Salamanca,108.04267276640113
Cáceres,Segovia,230.43882193321755
Cáceres,Sevilla,271.33079460938006
Cáceres,Soria,363.97402645581116
Cáceres,Tarragona,615.2311147623948
Cáceres,Teruel,454.32594734684835
Cáceres,Toledo,156.64362138354136
Cáceres,Valencia/València,479.44503548368704
Cáceres,Valladolid,228.7052715344565
Cáceres,Vizcaya,469.89584660972616
Cáceres,Zamora,212.03013640700377
Cáceres,Zaragoza,449.161096721044
Cáceres,Álava,433.2399445439391
Cáceres,Ávila,129.34733255630096
